iter	RMSE
156	4.88351485
157	4.876975783
158	4.871241906
159	4.866166139
160	4.864427397
161	4.855938481
162	4.850831719
163	4.842349923
164	4.837133428
165	4.829552493
166	4.827232348
167	4.824400595
168	4.81854694
169	4.811670697
170	4.807452273
171	4.802068615
172	4.799076765
173	4.795865511
174	4.793363832
175	4.790252262
176	4.787992179
177	4.783334314
178	4.777081304
179	4.772711806
180	4.769834417
181	4.767986469
182	4.764332093
183	4.758990838
184	4.756547946
185	4.749057115
186	4.747359632
187	4.744378712
188	4.741383363
189	4.739243597
190	4.731562533
191	4.728628933
192	4.724450128
193	4.722251741
194	4.719531934
195	4.713974507
196	4.712128358
197	4.707626213
198	4.702669867
199	4.696628493
200	4.693051759
201	4.68822491
202	4.685358802
203	4.682083653
204	4.677685092
205	4.671850339
206	4.669351439
207	4.665642786
208	4.66474871
209	4.661073615
210	4.658646954
211	4.65333196
212	4.650130921
213	4.646759201
214	4.644643945
215	4.640159467
216	4.636902995
217	4.630773089
218	4.626572581
219	4.621764061
220	4.618217656
221	4.615848866
222	4.613870246
223	4.609863494
224	4.608458067
225	4.604311273
226	4.598892259
227	4.597454101
228	4.59450287
229	4.590300715
230	4.586426123
231	4.582804584
232	4.580511477
233	4.57903047
234	4.576044445
235	4.573819401
236	4.569067573
237	4.568054801
238	4.563766969
239	4.562118559
240	4.55691795
241	4.554190724
242	4.551580356
243	4.545616991
244	4.543072726
245	4.541308986
246	4.540338338
247	4.535570224
248	4.534627086
249	4.531349421
250	4.528383126
251	4.526425486
252	4.521434887
253	4.518990933
254	4.516900402
255	4.514418178
256	4.513661218
257	4.512671289
258	4.505614597
259	4.503021489
260	4.502149238
261	4.494615245
262	4.49271494
263	4.490140647
264	4.486773861
265	4.48389948
266	4.481635873
267	4.47955357
268	4.477371807
269	4.474833756
270	4.472892104
271	4.470839098
272	4.468676122
273	4.462841946
274	4.460441372
275	4.455177275
276	4.449365081
277	4.446900597
278	4.445987648
279	4.445210475
280	4.441908026
281	4.435838043
282	4.433623495
283	4.431536997
284	4.430010535
285	4.429219463
286	4.42666724
287	4.424980933
288	4.423458036
289	4.420574706
290	4.418515547
291	4.417813696
292	4.413922052
293	4.40584111
294	4.402695383
295	4.398203698
296	4.39651382
297	4.394503722
298	4.390993702
299	4.390159637
300	4.382629003
301	4.37872795
302	4.375291084
303	4.37463837
304	4.368248173
305	4.364296418
306	4.359488201
307	4.353664768
308	4.347193644
309	4.340795174
310	4.335770688
311	4.330416283
312	4.324713252
313	4.322148692
314	4.3185632
315	4.316938214
316	4.313642302
317	4.311119364
318	4.308029337
319	4.302853537
320	4.299153014
321	4.295225873
322	4.290933043
323	4.286113565
324	4.28110533
325	4.278736382
326	4.275583506
327	4.270654443
328	4.265375338
329	4.264452429
330	4.263702163
331	4.260518794
332	4.259901733
333	4.25894327
334	4.258294293
335	4.254814504
336	4.247997736
337	4.246497234
338	4.244133305
339	4.239415644
340	4.234262599
341	4.233733246
342	4.228353017
343	4.22176697
344	4.216862852
345	4.212051247
346	4.207174334
347	4.206513517
348	4.20286391
349	4.200065227
350	4.19867801
351	4.198321936
352	4.196960188
353	4.19062989
354	4.188338402
355	4.183690943
356	4.179788636
357	4.17757555
358	4.173754702
359	4.168575673
360	4.165593944
361	4.165230674
362	4.16269403
363	4.157921576
364	4.155510456
365	4.152022998
366	4.147684463
367	4.145995966
368	4.141524535
369	4.140432232
370	4.136587673
371	4.135704631
372	4.12995999
373	4.125692775
374	4.121692512
375	4.11985612
376	4.119227073
377	4.113650241
378	4.109481643
379	4.10664245
380	4.106103298
381	4.102311666
382	4.100421678
383	4.096039941
384	4.091044902
385	4.088462674
386	4.085220695
387	4.08277449
388	4.079157577
389	4.078728749
390	4.076172492
391	4.07130462
392	4.068521554
393	4.065249262
394	4.062353066
395	4.057706128
396	4.053643471
397	4.050071576
398	4.047316919
399	4.042889831
400	4.038849024
401	4.035743676
402	4.03184479
403	4.027968822
404	4.025500622
405	4.02242613
406	4.020198503
407	4.017444999
408	4.016734227
409	4.014385417
410	4.013544599
411	4.010577907
412	4.007332954
413	4.006026342
414	4.001819611
415	3.998705246
416	3.996982276
417	3.992293576
418	3.989156835
419	3.986249745
420	3.983164262
421	3.981214642
422	3.978745903
423	3.975757544
424	3.973363314
425	3.969354689
426	3.966523347
427	3.96443657
428	3.960113563
429	3.958758918
430	3.957070792
431	3.954618504
432	3.954066776
433	3.952943924
434	3.950628452
435	3.949822695
436	3.948388724
437	3.946658742
438	3.943687539
439	3.93838521
440	3.936432888
441	3.933835747
442	3.929207406
443	3.925286504
444	3.92140464
445	3.918432892
446	3.913698987
447	3.910988357
448	3.907101406
449	3.904201001
450	3.90087206
451	3.89838127
452	3.895599913
453	3.894159082
454	3.892117118
455	3.889584062
456	3.885729116
457	3.884477432
458	3.881347797
459	3.877054002
460	3.874315492
461	3.872006953
462	3.869501139
463	3.866877099
464	3.864975791
465	3.864611719
466	3.862257605
467	3.859550791
468	3.857670501
469	3.853018347
470	3.851590571
471	3.851243071
472	3.847428928
473	3.847032789
474	3.844069988
475	3.841005928
476	3.838925505
477	3.83655932
478	3.83507192
479	3.832200633
480	3.828391947
481	3.826083219
482	3.823963357
483	3.823030511
484	3.818532661
485	3.816492164
486	3.813999288
487	3.80935518
488	3.805292494
489	3.802057043
490	3.799616259
491	3.797093317
492	3.792733388
493	3.792290145
494	3.788577926
495	3.786948795
496	3.783021404
497	3.781205521
498	3.779659393
499	3.779074603
500	3.777299519
501	3.772771327
502	3.770427202
503	3.770049856
504	3.767464833
505	3.766271542
506	3.764401442
507	3.763061951
508	3.761053305
509	3.757356753
510	3.756857583
511	3.754671365
512	3.752828896
513	3.751603077
514	3.749341076
515	3.748215729
516	3.745887667
517	3.744930815
518	3.741573512
519	3.738864398
520	3.736312501
521	3.734305155
522	3.733183605
523	3.729060028
524	3.726044858
525	3.724793565
526	3.72234611
527	3.722236097
528	3.720401565
529	3.719152301
530	3.716918519
531	3.712657284
532	3.709916453
533	3.707320938
534	3.703773129
535	3.700454288
536	3.696274768
537	3.692590867
538	3.690369726
539	3.688340869
540	3.684837696
541	3.683801286
542	3.681830092
543	3.679884452
544	3.678537768
545	3.677303972
546	3.673610023
547	3.673002164
548	3.671440586
549	3.667583245
550	3.664511385
551	3.662116873
552	3.65932878
553	3.657031109
554	3.6568984
555	3.654229676
556	3.653109472
557	3.652609281
558	3.648827796
559	3.648632536
560	3.648313265
561	3.647616861
562	3.646608703
563	3.644964063
564	3.644696014
565	3.643249859
566	3.639642119
567	3.637766284
568	3.636336546
569	3.636063553
570	3.63348267
571	3.630604851
572	3.63024385
573	3.627636596
574	3.625537052
575	3.623745761
576	3.623347689
577	3.622906202
578	3.622842971
579	3.620675561
580	3.618816859
581	3.617135141
582	3.614318439
583	3.612456245
584	3.609346644
585	3.607434408
586	3.605353945
587	3.605098266
588	3.602318394
589	3.599290122
590	3.59772937
591	3.595453621
592	3.592926159
593	3.59096599
594	3.590010774
595	3.589233351
596	3.586632008
597	3.584479544
598	3.583676306
599	3.579179385
600	3.575524241
601	3.572192311
602	3.571616083
603	3.569569421
604	3.565667392
605	3.563906467
606	3.562261817
607	3.561752569
608	3.559334799
609	3.557307026
610	3.555042918
611	3.553079252
612	3.549294236
613	3.548317152
614	3.546358158
615	3.546270777
616	3.543417093
617	3.541497455
618	3.539487711
619	3.535920591
620	3.53447319
621	3.532240002
622	3.52989007
623	3.525683149
624	3.523100063
625	3.518981067
626	3.517575828
627	3.514589077
628	3.51427725
629	3.510047011
630	3.507926416
631	3.507365296
632	3.507154987
633	3.506965881
634	3.505328851
635	3.503074896
636	3.502803315
637	3.501436618
638	3.499585568
639	3.498475251
640	3.498286135
641	3.496484984
642	3.495538144
643	3.493421309
644	3.492570506
645	3.489205021
646	3.489024435
647	3.485958599
648	3.483610526
649	3.47955869
650	3.477529353
651	3.475393802
652	3.473798241
653	3.471971521
654	3.467756667
655	3.465031075
656	3.463762349
657	3.460528515
658	3.456710677
659	3.453215629
660	3.450026471
661	3.448174077
662	3.445609317
663	3.445546908
664	3.444155539
665	3.442063
666	3.440258476
667	3.438727274
668	3.438557672
669	3.437074631
670	3.433138453
671	3.430594081
672	3.42888908
673	3.427771639
674	3.425889928
675	3.423093046
676	3.421333169
677	3.417585828
678	3.417262615
679	3.41515206
680	3.412514803
681	3.412221126
682	3.411840138
683	3.410192654
684	3.405807549
685	3.402834194
686	3.40119386
687	3.399966447
688	3.398364544
689	3.397060289
690	3.395632943
691	3.392016667
692	3.390721924
693	3.38938404
694	3.387887445
695	3.386260811
696	3.38509711
697	3.383837514
698	3.381729454
699	3.379877082
700	3.378980397
701	3.375752906
702	3.374308684
703	3.372984114
704	3.37112129
705	3.370866045
706	3.370668387
707	3.369635607
708	3.368367426
709	3.36822475
710	3.364663772
711	3.363918285
712	3.360372258
713	3.360262849
714	3.358863687
715	3.356830908
716	3.353660731
717	3.352993212
718	3.351590975
719	3.350104504
720	3.349296296
721	3.348356595
722	3.347432143
723	3.344485685
724	3.343180837
725	3.342799486
726	3.340740964
727	3.340004182
728	3.338378989
729	3.337172056
730	3.335468068
731	3.332342976
732	3.331519943
733	3.331132391
734	3.329315844
735	3.328620652
736	3.328293425
737	3.326296084
738	3.325931126
739	3.32503352
740	3.323475869
741	3.320584621
742	3.319321914
743	3.31748892
744	3.315335814
745	3.314355422
746	3.311580847
747	3.310540911
748	3.308399403
749	3.308295393
750	3.305839289
751	3.303330074
752	3.301258823
753	3.299870388
754	3.298780238
755	3.297501764
756	3.296835798
757	3.295076012
758	3.294999119
759	3.293581621
760	3.290662767
761	3.290581468
762	3.287832751
763	3.285237416
764	3.283515463
765	3.283307333
766	3.281766465
767	3.280581861
768	3.277831359
769	3.276815334
770	3.276543098
771	3.276450342
772	3.275600371
773	3.274255772
774	3.273680381
775	3.27118038
776	3.270723396
777	3.27056888
778	3.269199994
779	3.265574262
780	3.265343704
781	3.26437265
782	3.264045904
783	3.262722475
784	3.261581797
785	3.259378319
786	3.256808365
787	3.254411709
788	3.253805594
789	3.251489589
790	3.250907673
791	3.250013758
792	3.247256049
793	3.246234417
794	3.244812606
795	3.243921023
796	3.24323992
797	3.241413579
798	3.239647751
799	3.237321041
800	3.235026953
801	3.232685967
802	3.231127299
803	3.230183402
804	3.228512972
805	3.226136012
806	3.225064455
807	3.223808494
808	3.222542795
809	3.222335697
810	3.222286476
811	3.222172783
812	3.22213638
813	3.221423398
814	3.22069148
815	3.219205632
816	3.21822547
817	3.217271092
818	3.217022525
819	3.215344856
820	3.213762953
821	3.212317116
822	3.210679427
823	3.209807517
824	3.207891819
825	3.20732758
826	3.207141546
827	3.205974832
828	3.204327693
829	3.201864057
830	3.200289736
831	3.199398331
832	3.198692034
833	3.195112788
834	3.193956711
835	3.192619871
836	3.190326526
837	3.189265656
838	3.189190546
839	3.188153363
840	3.187592343
841	3.186758096
842	3.183717755
843	3.180239412
844	3.177866481
845	3.177396342
846	3.174709943
847	3.173827962
848	3.172678986
849	3.170831104
850	3.168295435
851	3.166584082
852	3.166026051
853	3.162950809
854	3.161710096
855	3.16107077
856	3.160680513
857	3.158753055
858	3.156955555
859	3.155531864
860	3.155291952
861	3.153903037
862	3.152398819
863	3.148841737
864	3.147809044
865	3.145178106
866	3.144684397
867	3.142479101
868	3.141179498
869	3.137897646
870	3.137340411
871	3.137025517
872	3.134655155
873	3.132443401
874	3.131476464
875	3.13074049
876	3.128202897
877	3.127351354
878	3.12618037
879	3.124733591
880	3.123543683
881	3.121341659
882	3.119196223
883	3.11887136
884	3.11669565
885	3.116631997
886	3.11589157
887	3.1158409
888	3.113366359
889	3.111934044
890	3.110960311
891	3.109607589
892	3.108555748
893	3.106901541
894	3.10575124
895	3.105724513
896	3.103080978
897	3.102659517
898	3.101468673
899	3.100677982
900	3.098983123
901	3.098062784
902	3.097049557
903	3.096528715
904	3.095870745
905	3.093431812
906	3.091985392
907	3.091546544
908	3.09049447
909	3.090458128
910	3.089642484
911	3.088673623
912	3.086157044
913	3.084776681
914	3.08301948
915	3.081184424
916	3.078926587
917	3.076189166
918	3.075458807
919	3.074264211
920	3.07290685
921	3.072605174
922	3.070383369
923	3.069929251
924	3.069367978
925	3.06839954
926	3.068355363
927	3.066057488
928	3.064407156
929	3.063430598
930	3.06339731
931	3.062997112
932	3.062846514
933	3.061590792
934	3.060264173
935	3.059133578
936	3.057828467
937	3.055740559
938	3.053932097
939	3.052485923
940	3.051927162
941	3.049420028
942	3.047822378
943	3.046469188
944	3.045244417
945	3.045196429
946	3.044468568
947	3.043455457
948	3.041125219
949	3.040451759
950	3.040062281
951	3.039484662
952	3.039366895
953	3.038948225
954	3.038451267
955	3.037155781
956	3.037114185
957	3.034597602
958	3.032998747
959	3.030693186
960	3.030195602
961	3.02772549
962	3.025819409
963	3.024382385
964	3.024342084
965	3.023582475
966	3.023555094
967	3.020510227
968	3.019066536
969	3.019029595
970	3.016703329
971	3.016667654
972	3.016606653
973	3.013579767
974	3.012671622
975	3.011080212
976	3.010062383
977	3.007773573
978	3.007744452
979	3.007067224
980	3.006642409
981	3.005328393
982	3.005274312
983	3.003890936
984	3.00111385
985	2.999430813
986	2.99939434
987	2.999281946
988	2.997792184
989	2.996419003
990	2.996133711
991	2.993281243
992	2.99148334
993	2.987387959
994	2.987259891
995	2.986648215
996	2.984944463
997	2.984087176
998	2.98247236
999	2.978334791
